feature_scheme	model	outer_fold	n	macro_f1	balanced_accuracy	accuracy	macro_ovr_roc_auc	macro_average_precision	multiclass_log_loss
pam50_included	random_forest	1	152	0.8848013669857057	0.8792460563629919	0.9013157894736842	0.9841120709409523	0.9479404572354954	0.3798321471497898
pam50_included	random_forest	2	151	0.9248216501240696	0.9375	0.9271523178807947	0.9888172026144028	0.9675414174624487	0.3471195640753564
pam50_included	random_forest	3	151	0.9022242642430955	0.8942708333333333	0.9006622516556292	0.9791531253042305	0.9399957520621277	0.37166536272878653
pam50_included	random_forest	4	151	0.856749161543682	0.8568865740740741	0.9072847682119205	0.9864955278762099	0.9329414166021743	0.3822952434934768
pam50_included	random_forest	5	151	0.9550837076357697	0.9550837076357697	0.9470198675496688	0.9923484925820063	0.9806200913657229	0.35172501166293973
pam50_excluded	dummy_prior	1	152	0.1724137931034483	0.25	0.5263157894736842	0.5	0.25	1.1842551684554856
pam50_excluded	dummy_prior	2	151	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919814
pam50_excluded	dummy_prior	3	151	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919817
pam50_excluded	dummy_prior	4	151	0.17316017316017315	0.25	0.5298013245033113	0.5	0.25	1.1745426620919814
pam50_excluded	dummy_prior	5	151	0.17173913043478262	0.25	0.5231788079470199	0.5	0.25	1.1878869817011826
pam50_excluded	multinomial_logistic_l2	1	152	0.8768780573025856	0.8814604750088622	0.881578947368421	0.9775407212307912	0.9341696409079123	0.33315728677900686
pam50_excluded	multinomial_logistic_l2	2	151	0.8826521585279548	0.90625	0.8807947019867549	0.9813250149968793	0.9464246063595763	0.2656076960050449
pam50_excluded	multinomial_logistic_l2	3	151	0.851723101582849	0.8520833333333333	0.8410596026490066	0.9645872723646152	0.9171747309769281	0.34980457866307774
pam50_excluded	multinomial_logistic_l2	4	151	0.8233919648393332	0.8340856481481481	0.8543046357615894	0.982199734352246	0.9226592844887459	0.29408886664764244
pam50_excluded	multinomial_logistic_l2	5	151	0.9184747104439986	0.9245610453246222	0.9139072847682119	0.9897710516764212	0.9780512404455663	0.20363686100300685
pam50_excluded	multinomial_logistic_elastic_net	1	152	0.8608365778177098	0.8702709588798299	0.868421052631579	0.9737806675096525	0.9299065007046401	0.3660720317260515
pam50_excluded	multinomial_logistic_elastic_net	2	151	0.8418209076436924	0.8567708333333334	0.8609271523178808	0.9765055383790968	0.9252869830080588	0.2986017574300191
pam50_excluded	multinomial_logistic_elastic_net	3	151	0.8581987577639751	0.8729166666666666	0.847682119205298	0.9641258127655764	0.9126371881706654	0.35690015247610574
pam50_excluded	multinomial_logistic_elastic_net	4	151	0.8508741655890679	0.8564814814814815	0.8741721854304636	0.9758928744339925	0.9146153748621695	0.3168258527876982
pam50_excluded	multinomial_logistic_elastic_net	5	151	0.9157873376623377	0.9343609636586362	0.9139072847682119	0.9903607373397616	0.9770528038909163	0.22217226893734768
pam50_excluded	linear_svc	1	152	0.8641742643668497	0.8801499911378945	0.868421052631579	0.9706478038525277	0.9041318299774894	0.3523548834564913
pam50_excluded	linear_svc	2	151	0.8809523809523809	0.9140625	0.8874172185430463	0.9806145697715706	0.9501121492326079	0.30214778702890666
pam50_excluded	linear_svc	3	151	0.8163461538461538	0.80625	0.8211920529801324	0.9559343847859338	0.9117109113705275	0.3976815267649052
pam50_excluded	linear_svc	4	151	0.8641451629784132	0.8881365740740741	0.8807947019867549	0.9789530483539028	0.9059117743851479	0.34584978325884347
pam50_excluded	linear_svc	5	151	0.9290322580645161	0.9343609636586362	0.9139072847682119	0.9872018516267722	0.9724669815795934	0.26627246530819854
pam50_excluded	random_forest	1	152	0.8928224095087303	0.8935373094647289	0.9078947368421053	0.9816070184192072	0.938184220071076	0.40958056283885785
pam50_excluded	random_forest	2	151	0.9186065182145011	0.9296875	0.9205298013245033	0.9865238890228804	0.9582811017215617	0.3783633759076361
pam50_excluded	random_forest	3	151	0.8841408591408592	0.8770833333333334	0.8741721854304636	0.9752664946247523	0.9354839697274477	0.3994586200469425
pam50_excluded	random_forest	4	151	0.8562378167641326	0.8714699074074074	0.9006622516556292	0.9830572144201644	0.9175332479631364	0.35646151238688334
pam50_excluded	random_forest	5	151	0.9603051861016599	0.958248264597795	0.9536423841059603	0.9916815536953859	0.9812641359404288	0.3815924095849624
