pam50_class	matrix_column	coefficient_sum	coefficient_sum_squares	absolute_coefficient_sum	selected_fold_count	nonzero_fold_count	positive_fold_count	negative_fold_count	mean_coefficient_including_zeros	mean_absolute_coefficient_including_zeros	coefficient_sd_including_zeros	sign_consistency	gene_id	gene_id_without_version	gene_name	gene_type	top20_outer_fold_count	top20_outer_fold_frequency	direction	direction_rank
Luminal A	14724	-0.1109089478850364	0.01230079472096572	0.1109089478850364	5.0	1.0	0.0	1.0	-0.02218178957700728	0.02218178957700728	0.049599989356784585	1.0	ENSG00000179750.16	ENSG00000179750	APOBEC3B	protein_coding	0.0	0.0	negative	16
Luminal A	14163	-0.1048420295119285	0.00551194437383431	0.1048420295119285	5.0	2.0	0.0	2.0	-0.0209684059023857	0.0209684059023857	0.02878182648564148	1.0	ENSG00000176887.7	ENSG00000176887	SOX11	protein_coding	0.0	0.0	negative	17
Luminal A	4682	-0.0820140168070793	0.006726298952831886	0.0820140168070793	2.0	1.0	0.0	1.0	-0.01640280336141586	0.01640280336141586	0.03667778333768792	1.0	ENSG00000117228.10	ENSG00000117228	GBP1	protein_coding	1.0	0.2	negative	18
Luminal A	3653	-0.0761003643274307	0.0057912654507676865	0.0761003643274307	5.0	1.0	0.0	1.0	-0.015220072865486139	0.015220072865486139	0.03403311754972702	1.0	ENSG00000109255.11	ENSG00000109255	NMU	protein_coding	1.0	0.2	negative	19
Luminal A	891	-0.0688835904002189	0.004744949026425129	0.0688835904002189	5.0	1.0	0.0	1.0	-0.01377671808004378	0.01377671808004378	0.030805678133828278	1.0	ENSG00000064651.14	ENSG00000064651	SLC12A2	protein_coding	0.0	0.0	negative	20
Luminal B	2431	2.0138743817806244	1.019615390340376	2.0138743817806244	5.0	5.0	5.0	0.0	0.40277487635612486	0.40277487635612486	0.2282966191284475	1.0	ENSG00000101057.16	ENSG00000101057	MYBL2	protein_coding	5.0	1.0	positive	1
Luminal B	1943	1.6895009726285934	0.6023978301246917	1.6895009726285934	5.0	5.0	5.0	0.0	0.3379001945257187	0.3379001945257187	0.08876249605280813	1.0	ENSG00000091831.24	ENSG00000091831	ESR1	protein_coding	5.0	1.0	positive	2
Luminal B	5027	1.1919581294059753	0.3442175138316474	1.1919581294059753	5.0	5.0	5.0	0.0	0.23839162588119506	0.23839162588119506	0.12254048043427228	1.0	ENSG00000120262.10	ENSG00000120262	CCDC170	protein_coding	5.0	1.0	positive	3
Luminal B	13807	1.1064667701721191	0.7375017312869048	1.1064667701721191	2.0	2.0	2.0	0.0	0.22129335403442382	0.22129335403442382	0.35094443598235053	1.0	ENSG00000175063.17	ENSG00000175063	UBE2C	protein_coding	2.0	0.4	positive	4
Luminal B	7790	0.7577684596180914	0.16200720544836303	0.7577684596180914	5.0	5.0	5.0	0.0	0.15155369192361828	0.15155369192361828	0.10858705927730064	1.0	ENSG00000139211.7	ENSG00000139211	AMIGO2	protein_coding	4.0	0.8	positive	5
