pam50_class	matrix_column	gene_name	top20_outer_fold_count	mean_coefficient_when_top20	positive_top20_fold_count	negative_top20_fold_count	top20_outer_fold_frequency	dominant_direction
HER2-enriched	17628	AKR1B10	1	0.0601844228804111	1	0	0.2	positive
HER2-enriched	35325	C1orf226	1	-0.2657090425491333	0	1	0.2	negative
HER2-enriched	17363	C6orf141	1	-0.2607001066207886	0	1	0.2	negative
HER2-enriched	16841	C9orf152	1	0.0745966583490371	1	0	0.2	positive
HER2-enriched	5107	CLU	1	0.1855397969484329	1	0	0.2	positive
HER2-enriched	16004	DLK1	1	0.1113420873880386	1	0	0.2	positive
HER2-enriched	730	FOXC1	1	-0.1305835396051406	0	1	0.2	negative
HER2-enriched	12834	KRT4	1	0.0821867436170578	1	0	0.2	positive
HER2-enriched	10159	KRTCAP3	1	-0.1357089132070541	0	1	0.2	negative
HER2-enriched	10016	MS4A1	1	0.1829499304294586	1	0	0.2	positive
HER2-enriched	15848	MUC6	1	0.0718636885285377	1	0	0.2	positive
HER2-enriched	13333	MUCL1	1	0.0819669440388679	1	0	0.2	positive
HER2-enriched	5530	NDP	1	-0.3301468193531036	0	1	0.2	negative
HER2-enriched	2910	PLAT	1	-0.0906475558876991	0	1	0.2	negative
HER2-enriched	12894	SDR16C5	1	0.1070971339941024	1	0	0.2	positive
HER2-enriched	5800	SLURP1	1	0.0876531228423118	1	0	0.2	positive
HER2-enriched	14163	SOX11	1	0.1455023139715194	1	0	0.2	positive
HER2-enriched	15042	SOX2	1	0.1788042932748794	1	0	0.2	positive
HER2-enriched	2153	SUSD2	1	0.077162005007267	1	0	0.2	positive
HER2-enriched	1019	SYT1	1	-0.0715925842523574	0	1	0.2	negative
HER2-enriched	4364	TFCP2L1	1	-0.1038529276847839	0	1	0.2	negative
HER2-enriched	7032	UGT2B28	1	0.0616149343550205	1	0	0.2	positive
HER2-enriched	12814	VSTM2A	1	-0.3680550456047058	0	1	0.2	negative
Luminal A	3658	AREG	1	0.2027066200971603	1	0	0.2	positive
Luminal A	16433	BCAM	1	0.1435057669878006	1	0	0.2	positive
Luminal A	25314	C4B	1	0.3206075727939605	1	0	0.2	positive
Luminal A	6968	C5AR2	1	0.1043291091918945	1	0	0.2	positive
Luminal A	11321	CARTPT	1	0.2047569006681442	1	0	0.2	positive
Luminal A	5505	CHST8	1	0.0923792198300361	1	0	0.2	positive
Luminal A	43132	CYP2A6	1	0.3232987225055694	1	0	0.2	positive
Luminal A	4682	GBP1	1	-0.0820140168070793	0	1	0.2	negative
Luminal A	948	ME1	1	-0.0957854464650154	0	1	0.2	negative
Luminal A	3886	MGP	1	0.19546540081501	1	0	0.2	positive
Luminal A	3653	NMU	1	-0.0761003643274307	0	1	0.2	negative
Luminal A	13940	NR2F1	1	0.2371362000703811	1	0	0.2	positive
Luminal A	28665	ORM1	1	-0.236447587609291	0	1	0.2	negative
Luminal A	13855	PHYHD1	1	0.0983199700713157	1	0	0.2	positive
Luminal A	5292	RAMP3	1	0.1156568378210067	1	0	0.2	positive
Luminal A	12701	S100G	1	0.100708283483982	1	0	0.2	positive
Luminal A	9598	STK32B	1	0.2571333348751068	1	0	0.2	positive
Luminal A	1327	TUBA3D	1	0.110306330025196	1	0	0.2	positive
Luminal A	7448	TUBB2B	1	0.1031038612127304	1	0	0.2	positive
Luminal B	7140	AGT	1	0.1202239394187927	1	0	0.2	positive
Luminal B	16945	ALG1L	1	0.0959268882870674	1	0	0.2	positive
Luminal B	6471	ANO1	1	0.0615327470004558	1	0	0.2	positive
Luminal B	7759	B4GALNT3	1	-0.2335598617792129	0	1	0.2	negative
Luminal B	6726	BEX2	1	-0.2676110565662384	0	1	0.2	negative
Luminal B	17363	C6orf141	1	0.1567159742116928	1	0	0.2	positive
Luminal B	3053	CCNP	1	0.0712008401751518	1	0	0.2	positive
Luminal B	129	CX3CL1	1	-0.1258042305707931	0	1	0.2	negative
Luminal B	17470	ENPP1	1	0.0974046513438224	1	0	0.2	positive
Luminal B	11351	FABP7	1	-0.0680420771241188	0	1	0.2	negative
Luminal B	9317	FSIP1	1	0.0871837213635444	1	0	0.2	positive
Luminal B	342	GPRC5A	1	0.0505935586988925	1	0	0.2	positive
Luminal B	17018	GREB1	1	0.1102465018630027	1	0	0.2	positive
Luminal B	7698	HERC6	1	0.0788705497980117	1	0	0.2	positive
Luminal B	7575	IFI44	1	0.0609988048672676	1	0	0.2	positive
Luminal B	12852	IRX1	1	-0.1252821385860443	0	1	0.2	negative
Luminal B	47415	MSMB	1	0.0837293714284896	1	0	0.2	positive
Luminal B	9789	NCAM2	1	0.1115859746932983	1	0	0.2	positive
Luminal B	16961	RASSF10	1	-0.2412746101617813	0	1	0.2	negative
Luminal B	17207	S100A2	1	-0.1122757941484451	0	1	0.2	negative
Luminal B	17357	SERPINA1	1	-0.2857752740383148	0	1	0.2	negative
Luminal B	16716	SERPINA5	1	0.0774688422679901	1	0	0.2	positive
Luminal B	11040	SERPINI1	1	0.3221129477024078	1	0	0.2	positive
Luminal B	8080	SKAP1	1	0.3111880123615265	1	0	0.2	positive
Luminal B	10192	TENT5B	1	-0.1008424088358879	0	1	0.2	negative
Luminal B	7448	TUBB2B	1	-0.1000824719667434	0	1	0.2	negative
Luminal B	6662	VSTM2L	1	-0.07345662266016	0	1	0.2	negative
Luminal B	597	ZIC2	1	-0.1233423426747322	0	1	0.2	negative
